location,name,,website_url,,,membership_status,public_hrs,,,phone,type,lights,courts,
Lytton Park,Lytton Park,Club:,http://www.lyttonparktennis.com,http://www.lyttonparktennis.com/,,,,,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=200%20%20Lytton%20Blvd%20&lat=43.7149211094&lng=-79.4108232766&zoom=15,416-312-5300,Club,Yes,3,
Major Abbas Ali Park,Major Abbas Ali Park,Club:,,,,,Tuesdays 4 p.m. - 6 p.m.,Wednesdays 4 p.m. - 6 p.m.,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=180%20%20Mclevin%20Ave%20&lat=43.8048478217&lng=-79.2306931574&zoom=15,311,Club,Yes,3,
Maryland Park,Dentonia Park Tennis Club,Club:,https://www.dentoniatennis.com,https://www.dentoniatennis.com/,Membership:,Open,Sundays 4:30 p.m. - 11 p.m.,Holidays 8:30 p.m. - 11 p.m.,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=19%20%20Maryland%20Blvd%20&lat=43.6918451978&lng=-79.295201344&zoom=15,416-699-2412,Club,Yes,4,Yes
Maryvale Park,Maryvale Tennis Club,Club:,http://www.maryvaletennis.blogspot.ca,http://www.maryvaletennis.blogspot.ca/,Membership:,Open,Sundays 12 p.m. - 3 p.m.,Saturdays 12 p.m. - 3 p.m.,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=5%20Trestleside%20Grv%20&lat=43.7530814449&lng=-79.3065284999&zoom=15,416-878-5005,Club,Yes,3,Yes
Mimico Memorial Park,Mimico Tennis Club,Club:,http://www.mimicotennisclub.org,http://www.mimicotennisclub.org/,Membership:,Open,,,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=75%20%20Hillside%20Ave%20&lat=43.6098135096&lng=-79.4936683215&zoom=15,311,Club,Yes,3,
Moorevale Park,Moore Park Tennis Club,Club:,http://www.mooretennis.com,http://www.mooretennis.com/,Membership:,Waitlist,Sundays 8 p.m. - 11 p.m.,Saturdays 8 p.m. - 11 p.m.,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=175%20%20Moore%20Ave%20&lat=43.6935039722&lng=-79.3822524663&zoom=15,647-556-7877,Club,Yes,5,
North Bendale Park,North Bendale Tennis Club,Club:,http://www.northbendaletennisclub.org,http://www.northbendaletennisclub.org/,Membership:,Open,Saturdays 9:30 a.m. - 12:30 p.m.,Sundays 9:30 a.m. - 12:30 p.m.,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=40%20%20Erinlea%20Cres%20&lat=43.7697082605&lng=-79.2447949901&zoom=15,416-438-4913,Club,Yes,3,
Old Mill Site Park,York Old Mill Tennis Club,Club:,http://www.oldmilltennis.com,http://www.oldmilltennis.com/,Membership:,Open,Saturdays 5 p.m. - 11 p.m.,Holidays 2 p.m. - 4 p.m.,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=5%20%20Catherine%20St%20&lat=43.6508546958&lng=-79.4902386929&zoom=15,416-763-3088,Club,Yes,4,
Oriole Park - North York,Oriole Park - North York,Club:,,,,,,,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=2955%20%20Don%20Mills%20Rd%20&lat=43.781490886&lng=-79.3510068663&zoom=15,311,Club,Yes,4,
Pine Point Park,Pine Point Tennis Club,Club:,http://www.pinepointtennis.com,http://www.pinepointtennis.com/,Membership:,Open,,,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=4%20Conan%20Rd%20&lat=43.7161585765&lng=-79.5441307178&zoom=15,416-657-2529,Club,Yes,4,Yes
Rennie Park,The Swansea Tennis Club,Club:,http://www.swanseatennis.com,http://www.swanseatennis.com/,Membership:,Open,Saturdays 5 p.m. - 11 p.m.,Holidays 1 p.m. - 3 p.m.,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=1%20%20Rennie%20Terr%20&lat=43.6425865388&lng=-79.4722488073&zoom=15,311,Club,Yes,4,
Rosedale Park,The Rosedale Tennis Club,Club:,http://www.rosedaletennis.com,http://www.rosedaletennis.com/,Membership:,Waitlist,Saturdays 5 p.m. - 9 p.m.,Sundays 4 p.m. - 9 p.m.,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=20%20%20Scholfield%20Ave%20&lat=43.6827794649&lng=-79.3789306778&zoom=15,416-922-7906,Club,No,8,
Rosethorn Park,The Rosethorn Tennis Club,Club:,https://www.rosethorntennisclub.com/,https://www.rosethorntennisclub.com/,Membership:,Waitlist,Saturdays 7 p.m. - 11 p.m.,Sundays 9 p.m. - 11 p.m.,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=26%20%20Remington%20Dr%20&lat=43.6584426506&lng=-79.5391261116&zoom=15,311,Club,Yes,3,
Scarboro Crescent Park,Scarborough Bluffs Tennis Club,Club:,http://www.sbtennis.org,http://www.sbtennis.org/,Membership:,Open,Saturdays 5 p.m. - 8 p.m.,Sundays 5 p.m. - 8 p.m.,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=61%20Undercliff%20Dr%20&lat=43.7038058727&lng=-79.2418181671&zoom=15,416-410-6300,Club,Yes,4,Yes
Scarlett Mills Park,Edenbridge Tennis Club,Club:,https://edenbridgetennis.com/,https://edenbridgetennis.com/,Membership:,Open,Saturdays 8 p.m. - 11 p.m.,Sundays 8 p.m. - 11 p.m.,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=235%20%20Edenbridge%20Dr%20&lat=43.675747482&lng=-79.5106471991&zoom=15,416-279-9940,Club,Yes,4,
Seneca Hill Park,Seneca Hill Tennis Club,Club:,https://senecahilltennisclub.com/,https://senecahilltennisclub.com/,Membership:,Open,Saturdays 2 p.m. - 5 p.m.,Sundays 2 p.m. - 5 p.m.,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=620%20%20Seneca%20Hill%20Dr%20&lat=43.7915047411&lng=-79.3517317119&zoom=15,311,Club,Yes,4,
Seven Oaks Park,Seven Oaks Tennis Club,Club:,,,,Open,Saturdays 3 p.m. - 6 p.m.,Sundays 3 p.m. - 6 p.m.,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=372%20%20Military%20Trl%20&lat=43.7882509494&lng=-79.2105842681&zoom=15,311,Club,Yes,3,
Silver Creek Park,Silver Creek Seniors Tennis Club,Club:,,,,,,,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=44%20%20Strathdee%20Dr.%20&lat=43.6827011213&lng=-79.5434038267&zoom=15,416-244-7286,Club,Yes,3,Yes
Sir Winston Churchill Park,Sir Winston Churchill Tennis Club,Club:,http://www.winstonchurchilltennis.ca,http://www.winstonchurchilltennis.ca/,Membership:,Waitlist,Saturdays 8 p.m. - 11 p.m.,Sundays 6 p.m. - 11 p.m.,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=301%20%20St.%20Clair%20Ave%20W&lat=43.6828812958&lng=-79.408860746&zoom=15,416-924-4558,Club,Yes,7,
Stephen Leacock Park,Stephen Leacock Tennis Club,Club:,http://www.stephenleacock-tennis.ca,http://www.stephenleacock-tennis.ca/,Membership:,Open,Sundays 1 p.m. - 7 p.m.,Holidays 12 p.m. - 2 p.m.,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=2530%20%20Birchmount%20Rd%20&lat=43.7872164775&lng=-79.3024857029&zoom=15,311,Club,Yes,4,
Tam Heather Country Club Grounds,,,,,,,,,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=50%20%20Bonspiel%20Dr%20&lat=43.7914613609999&lng=-79.1977789209999&zoom=15,311,Club,Yes,4,
Thomson Memorial Park,Thomson Park Tennis Club,Club:,,,,Open,Mondays 4 p.m. - 6 p.m.,Tuesdays 4 p.m. - 6 p.m.,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=1005%20%20Brimley%20Rd%20&lat=43.7575786177&lng=-79.2533708865&zoom=15,311,Club,Yes,3,
Three Valleys Park,Parkway Valley Tennis Club,Club:,http://www.pvtc.ca,http://www.pvtc.ca/,,,,,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=82%20%20Three%20Valleys%20Dr%20&lat=43.7505973363&lng=-79.3394444969&zoom=15,416-391-3962,Club,Yes,2,
Tom Riley Park,Central Tennis Club,Club:,http://www.centraltennisclub.com,http://www.centraltennisclub.com/,Membership:,Waitlist,Sundays 8 p.m. - 11 p.m.,Saturdays 8 p.m. - 11 p.m.,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=4725%20%20Dundas%20St.%20W&lat=43.6484570523&lng=-79.5217785888&zoom=15,416-236-2835,Club,Yes,3,Yes
Tournament Park,Tournament Park Tennis Club,Club:,http://www.tournamentpark.com,http://www.tournamentpark.com/,Membership:,Waitlist,Fridays 9 p.m. - 11 p.m.,Saturdays 7 p.m. - 11 p.m.,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=40%20%20Tournament%20Dr%20&lat=43.7515342315&lng=-79.3996976275&zoom=15,416-733-4643,Club,Yes,4,
Trace Manes Park,Leaside Tennis Club,Club:,http://www.leasidetennis.org,http://www.leasidetennis.org/,Membership:,Waitlist,Sundays 9 p.m. - 11 p.m.,Saturdays 7 p.m. - 11 p.m.,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=110%20%20Rumsey%20Rd%20&lat=43.705570191&lng=-79.3674495146&zoom=15,416-467-9350,Club,Yes,6,
Viewmount Park,Viewmount Park Tennis Club,Club:,https://viewmount.ca,https://viewmount.ca/,Membership:,Open,Fridays 7 p.m. - 11 p.m.,Saturdays 9 p.m. - 11 p.m.,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=169%20%20Viewmount%20Ave%20&lat=43.7070287033&lng=-79.4374593876&zoom=15,416-395-6021,Club,Yes,4,
Wanless Park,Wanless Park Tennis Club,Club:,http://www.wanlesstennis.com,http://www.wanlesstennis.com/,Membership:,Waitlist,Saturdays 8 p.m. - 11 p.m.,Sundays 8 p.m. - 11 p.m.,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=250%20%20Wanless%20Ave%20&lat=43.728932197&lng=-79.3920573305&zoom=15,416-483-4546,Club,Yes,5,
West Deane Park,Martingrove Tennis Club,Club:,http://www.martingrovetennis.com,http://www.martingrovetennis.com/,Membership:,Open,Saturdays 5 p.m. - 11 p.m.,Has public hours - Public Hours: 5 PM - 11 PM (Sundays Only),https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=19%20%20Sedgebrook%20Cres%20&lat=43.6639989632&lng=-79.5634940078&zoom=15,311,Club,Yes,4,
West Rouge Park,West Rouge Tennis Club,Club:,https://wrtctennis.com/,https://wrtctennis.com/,Membership:,Open,Mondays 4 p.m. - 7 p.m.,Sundays 4 p.m. - 7 p.m.,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=270%20%20Rouge%20Hills%20Dr%20&lat=43.7915901903&lng=-79.1254637314&zoom=15,311,Club,Yes,3,
Weston Lions Park,York Weston Lions Tennis Club,Club:,http://www.ywtc.ca,http://www.ywtc.ca/,Membership:,Open,Fridays 4 p.m. - 8 p.m.,Saturdays 2 p.m. - 4 p.m.,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=2125%20%20Lawrence%20Ave%20W&lat=43.6985583795&lng=-79.5180978282&zoom=15,416-243-7068,Club,Yes,4,
Willowdale Park,North York Tennis Club,Club:,http://www.nytc.ca,http://www.nytc.ca/,Membership:,Open,,,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=75%20%20Hollywood%20Ave%20&lat=43.7663856008&lng=-79.407279077&zoom=15,416-590-9704,Club,Yes,4,
Wishing Well Park,Wishing Well Tennis Club,Club:,http://www.wwtc.sprinterweb.net,http://www.wwtc.sprinterweb.net/,Membership:,Open,Saturdays 1 p.m. - 4 p.m.,Sundays 1 p.m. - 4 p.m.,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=1700%20%20Pharmacy%20Ave%20&lat=43.7698684436&lng=-79.3166203898&zoom=15,416-492-9696,Club,Yes,3,
York Mills Valley Park,Valley Tennis Club,Club:,http://www.valleytennisclub.com,http://www.valleytennisclub.com/,Membership:,Waitlist,Sundays 7 p.m. - 11 p.m.,Saturdays 9 p.m. - 11 p.m.,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=3865%20%20Yonge%20St%20&lat=43.7404834459&lng=-79.4053132032&zoom=15,416-440-0645,Club,Yes,5,